AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@MeasurementValue@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays@Age@UnitOfMeasure
496661@48258@Live weight@@2.290664@0@NA@2010-10-21@NA@NA@NA@NA@4@135@0.3698630136986301@kg
521769@138725@Live weight@@1.975@0@NA@2009-10-31@NA@NA@NA@NA@65@2009@5.504109589041096@kg
521769@138725@Live weight@@2@0@NA@2010-02-15@NA@NA@NA@NA@69@2116@5.7972602739726025@kg
521769@138725@Live weight@@2@0@NA@2009-12-20@NA@NA@NA@NA@67@2059@5.641095890410959@kg
522096@122408@Live weight@@1@0@NA@1988-08-01@NA@NA@NA@NA@26@794@2.175342465753425@kg
531571@111450@Live weight@@0.022@0@NA@2014-10-07@NA@NA@NA@NA@13@406@1.1123287671232878@kg
554757@62963@Live weight@@0.447@0@NA@2022-09-06@NA@NA@NA@NA@NA@NA@NA@kg
554757@62963@Live weight@@0.421@0@NA@2021-09-16@NA@NA@NA@NA@NA@NA@NA@kg
554757@62963@Live weight@@0.494@0@NA@2023-06-03@NA@NA@NA@NA@NA@NA@NA@kg
554757@62963@Live weight@@0.448@0@NA@2022-03-14@NA@NA@NA@NA@NA@NA@NA@kg
554757@62963@Live weight@@0.596@0@NA@2023-12-30@NA@NA@NA@NA@NA@NA@NA@kg
554757@62963@Live weight@@0.424@0@NA@2021-05-17@NA@NA@NA@NA@NA@NA@NA@kg
554757@62963@Live weight@@0.607@0@NA@2023-12-14@NA@NA@NA@NA@NA@NA@NA@kg
556308@11523@Live weight@@1.416@0@NA@2008-07-03@NA@NA@NA@NA@148@4508@12.35068493150685@kg
560457@104105@Live weight@@0.507@0@NA@2023-10-10@NA@NA@NA@NA@NA@NA@NA@kg
578131@33954@Live weight@@0.732@0@NA@2005-03-15@NA@NA@NA@NA@75@2309@6.326027397260274@kg
578131@33954@Live weight@@0.756@0@NA@2005-03-25@NA@NA@NA@NA@76@2319@6.353424657534247@kg
578131@33954@Live weight@@0.74@0@NA@2005-02-16@NA@NA@NA@NA@74@2282@6.252054794520548@kg
578131@33954@Dead weight@@0.751@0@NA@2005-03-27@NA@NA@NA@NA@76@2321@6.358904109589041@kg
578131@33954@Live weight@@0.751@0@NA@2005-03-27@NA@NA@NA@NA@76@2321@6.358904109589041@kg
586829@33954@Live weight@@0.761@0@NA@2005-03-15@NA@NA@NA@NA@75@2310@6.328767123287672@kg
592357@114907@Live weight@@0.31@0@NA@2000-06-09@NA@NA@NA@NA@25@787@2.1561643835616437@kg
604038@122408@Live weight@@0.49@0@NA@1995-04-07@NA@NA@NA@NA@80@2453@6.720547945205479@kg
620647@19749@Live weight@@0.023@0@NA@2020-02-24@NA@NA@NA@NA@7@216@0.5917808219178082@kg
621087@23814@Live weight@@1.35@0@NA@1997-06-13@NA@NA@NA@NA@84@2579@7.065753424657534@kg
621087@23814@Live weight@@1.258@0@NA@1995-11-09@NA@NA@NA@NA@65@1997@5.471232876712329@kg
621087@23814@Live weight@@1.201@0@NA@1992-06-10@NA@NA@NA@NA@24@750@2.0547945205479454@kg
621087@23814@Live weight@@1.205@0@NA@1994-03-23@NA@NA@NA@NA@46@1401@3.8383561643835615@kg
621087@23814@Live weight@@1.249@0@NA@1991-06-11@NA@NA@NA@NA@12@385@1.0547945205479452@kg
621087@23814@Live weight@@1.232@0@NA@1990-08-16@NA@NA@NA@NA@2@86@0.2356164383561644@kg
621087@23814@Live weight@@1.3@0@NA@1991-10-31@NA@NA@NA@NA@17@527@1.4438356164383561@kg
633420@168670@Live weight@@0.401@0@NA@2020-05-12@NA@NA@NA@NA@12@377@1.0328767123287672@kg
633420@168670@Live weight@@0.376@0@NA@2019-12-12@NA@NA@NA@NA@7@225@0.6164383561643836@kg
634636@138417@Live weight@@0.0453@0@NA@2019-11-14@NA@NA@NA@NA@15@481@1.3178082191780822@kg
634636@138417@Live weight@@0.03@0@NA@2019-02-13@NA@NA@NA@NA@6@207@0.5671232876712329@kg
634636@138417@Live weight@@0.033@0@NA@2019-03-21@NA@NA@NA@NA@8@243@0.6657534246575343@kg
663951@78043@Live weight@@0.76@0@NA@2023-06-16@NA@NA@NA@NA@221@6740@18.465753424657535@kg
693974@122408@Live weight@@1@0@NA@1987-06-25@NA@NA@NA@NA@9@278@0.7616438356164383@kg
714346@15939@Live weight@@0.14@0@NA@2016-04-30@NA@NA@NA@NA@19@607@1.663013698630137@kg
719604@15939@Live weight@@0.94@0@NA@2020-12-02@NA@NA@NA@NA@35@1066@2.9205479452054797@kg
719604@15939@Live weight@@1.025@0@NA@2021-10-06@NA@NA@NA@NA@45@1374@3.7643835616438355@kg
719604@15939@Live weight@@0.681@0@NA@2019-10-14@NA@NA@NA@NA@21@651@1.7835616438356163@kg
725221@168670@Live weight@@0.729@0@NA@2020-05-12@NA@NA@NA@NA@12@377@1.0328767123287672@kg
725221@168670@Live weight@@0.79@0@NA@2021-06-21@NA@NA@NA@NA@25@782@2.1424657534246574@kg
725221@168670@Live weight@@0.667@0@NA@2019-12-12@NA@NA@NA@NA@7@225@0.6164383561643836@kg
725221@168670@Live weight@@0.665@0@NA@2021-02-17@NA@NA@NA@NA@21@658@1.8027397260273972@kg
725221@168670@Live weight@@0.707@0@NA@2021-03-03@NA@NA@NA@NA@22@672@1.841095890410959@kg
730005@122408@Live weight@@1.25@0@NA@1989-03-21@NA@NA@NA@NA@33@1026@2.8109589041095893@kg
733872@48258@Live weight@@0.185@0@NA@2017-03-14@NA@NA@NA@NA@55@1677@4.594520547945206@kg
733872@48258@Live weight@@0.594@0@NA@2021-03-22@NA@NA@NA@NA@103@3146@8.61917808219178@kg
733872@48258@Live weight@@0.152@0@NA@2016-10-04@NA@NA@NA@NA@49@1516@4.153424657534247@kg
733872@48258@Live weight@@0.192@0@NA@2017-09-14@NA@NA@NA@NA@61@1861@5.098630136986301@kg
733872@48258@Live weight@@0.271@0@NA@2018-09-07@NA@NA@NA@NA@72@2219@6.079452054794521@kg
733872@48258@Live weight@@0.38@0@NA@2019-09-14@NA@NA@NA@NA@85@2591@7.098630136986301@kg
761992@82162@Live weight@@1.43@0@NA@2015-09-15@NA@NA@NA@NA@134@4091@11.208219178082192@kg
761992@82162@Live weight@@1.451@0@NA@2019-06-30@NA@NA@NA@NA@179@5475@15@kg
761992@82162@Live weight@@1.545@0@NA@2021-09-14@NA@NA@NA@NA@206@6282@17.21095890410959@kg
761992@82162@Live weight@@1.4@0@NA@2011-10-12@NA@NA@NA@NA@87@2657@7.279452054794521@kg
761992@82162@Live weight@@1.53@0@NA@2021-12-07@NA@NA@NA@NA@209@6366@17.44109589041096@kg
761992@82162@Live weight@@1.556@0@NA@2022-02-08@NA@NA@NA@NA@211@6429@17.613698630136987@kg
761992@82162@Live weight@@1.43@0@NA@2011-03-15@NA@NA@NA@NA@80@2446@6.701369863013698@kg
761992@82162@Live weight@@1.554@0@NA@2022-06-06@NA@NA@NA@NA@215@6547@17.936986301369863@kg
761992@82162@Live weight@@1.523@0@NA@2021-12-22@NA@NA@NA@NA@209@6381@17.482191780821918@kg
761992@82162@Live weight@@1.55@0@NA@2016-03-31@NA@NA@NA@NA@140@4289@11.75068493150685@kg
