AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@WeightValueKg@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays
719604@15939@Live weight@@1.025@0@NA@2021-10-06@@@@NA@45@1374
719604@15939@Live weight@@0.681@0@NA@2019-10-14@@@@NA@21@651
725221@168670@Live weight@@0.729@0@NA@2020-05-12@@@@NA@12@377
725221@168670@Live weight@@0.79@0@NA@2021-06-21@@@@NA@25@782
725221@168670@Live weight@@0.667@0@NA@2019-12-12@@@@NA@7@225
725221@168670@Live weight@@0.665@0@NA@2021-02-17@@@@NA@21@658
725221@168670@Live weight@@0.707@0@NA@2021-03-03@@@@NA@22@672
730005@122408@Live weight@@1.25@0@NA@1989-03-21@@@@NA@33@1026
733872@48258@Live weight@@0.185@0@NA@2017-03-14@@@@NA@55@1677
733872@48258@Live weight@@0.594@0@NA@2021-03-22@@@@NA@103@3146
733872@48258@Live weight@@0.152@0@NA@2016-10-04@@@@NA@49@1516
733872@48258@Live weight@@0.192@0@NA@2017-09-14@@@@NA@61@1861
733872@48258@Live weight@@0.271@0@NA@2018-09-07@@@@NA@72@2219
733872@48258@Live weight@@0.38@0@NA@2019-09-14@@@@NA@85@2591
761992@82162@Live weight@@1.43@0@NA@2015-09-15@@@@NA@134@4091
761992@82162@Live weight@@1.451@0@NA@2019-06-30@@@@NA@179@5475
761992@82162@Live weight@@1.545@0@NA@2021-09-14@@@@NA@206@6282
761992@82162@Live weight@@1.4@0@NA@2011-10-12@@@@NA@87@2657
761992@82162@Live weight@@1.53@0@NA@2021-12-07@@@@NA@209@6366
761992@82162@Live weight@@1.556@0@NA@2022-02-08@@@@NA@211@6429
761992@82162@Live weight@@1.43@0@NA@2011-03-15@@@@NA@80@2446
761992@82162@Live weight@@1.554@0@NA@2022-06-06@@@@NA@215@6547
761992@82162@Live weight@@1.523@0@NA@2021-12-22@@@@NA@209@6381
761992@82162@Live weight@@1.55@0@NA@2016-03-31@@@@NA@140@4289
761992@82162@Live weight@@1.513@0@NA@2020-12-01@@@@NA@196@5995
761992@82162@Live weight@@1.566@0@NA@2022-02-22@@@@NA@211@6443
761992@82162@Live weight@@1.493@0@NA@2019-04-01@@@@NA@176@5385
761992@82162@Live weight@@1.32@0@NA@2010-04-20@@@@NA@69@2117
761992@82162@Live weight@@1.533@0@NA@2020-10-27@@@@NA@195@5960
761992@82162@Live weight@@1.499@0@NA@2020-10-13@@@@NA@195@5946
761992@82162@Live weight@@1.43@0@NA@2012-03-13@@@@NA@92@2810
761992@82162@Live weight@@1.35@0@NA@2010-08-05@@@@NA@73@2224
761992@82162@Live weight@@1.474@0@NA@2018-07-22@@@@NA@168@5132
795906@100740@Live weight@@0.692@0@NA@2016-11-29@@@@NA@138@4226
795906@100740@Live weight@@0.718@0@NA@2017-04-23@@@@NA@143@4371
795906@100740@Live weight@@0.667@0@NA@2016-10-14@@@@NA@137@4180
806865@34263@Live weight@@1.262@0@NA@2012-03-21@@@@NA@135@4128
